Time Interval,Agent 1,Agent 3,Agent 4,Agent 0,Agent 5,Agent 6,Agent 2,Agent 7,Agent 8,Agent 9
0,0.0,0.0,0.0,0.0,0.0,0.0,9.482346817599975,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,106.24976208285322,0.0,0.0,0.0
2,0.0,48.92763107739222,0.0,0.0,0.0,0.0,90.48571186220357,0.0,0.0,0.0
3,0.0,63.46451068728138,84.60245722895353,0.0,0.0,0.0,83.23872896778272,0.0,0.0,0.0
4,0.0,63.46451068728138,86.17064284324616,0.0,105.30276811578614,0.0,75.21387583803897,0.0,0.0,0.0
5,0.0,42.7987945476799,81.81355118281458,0.0,178.04492046758907,0.0,75.21387583803897,0.0,0.0,0.0
6,15.8063709977428,17.166639890923328,68.8552058741041,0.0,172.32246105639086,8.885167225193634,51.55235545961881,0.0,0.0,0.0
7,83.70292939588475,8.76518307609072,16.02576915478683,0.0,172.32246105639086,65.14147451119644,44.92235762976247,26.077385974398428,0.0,0.0
8,83.70292939588475,0.0,0.0,0.0,165.56558843796546,65.14147451119644,37.30101718599563,62.7747710317328,0.0,0.0
9,56.89922939739291,65.2242897531114,0.0,0.0,155.3767209664621,45.50141314720699,19.470744287675124,49.284577304927375,0.0,0.0
10,45.94446696896726,69.65911209207387,107.86682939493446,0.0,130.44610473739561,30.909068942941474,0.0,49.284577304927375,53.66921366849711,0.0
11,24.03941158210126,64.00045318556465,124.05123376652088,0.0,130.44610473739561,20.734792993630574,0.0,49.284577304927375,84.63748138803871,0.0
12,19.35900768654578,64.00045318556465,124.05123376652088,0.0,114.68837698261537,17.223743591735282,0.0,49.284577304927375,77.13547065991332,0.0
13,0.0,54.453558233813006,124.05123376652088,0.0,114.68837698261537,0.0,0.0,35.278310899008616,54.81517018013833,0.0
14,0.0,54.453558233813006,116.60292969311345,0.0,92.79560986660019,0.0,0.0,0.0,26.37708811888748,0.0
15,0.0,25.94034548039325,90.94390937582018,0.0,84.49697244998298,0.0,0.0,0.0,26.37708811888748,0.0
16,0.0,12.165981311681946,76.43346472164433,0.0,68.17438958605686,0.0,0.0,0.0,26.37708811888748,0.0
17,0.0,12.165981311681946,45.42226593059419,0.0,31.130903315189812,0.0,0.0,0.0,22.88554622129463,0.0
18,0.0,12.165981311681946,32.080117527404134,0.0,31.130903315189812,0.0,0.0,0.0,22.88554622129463,0.0
19,0.0,12.165981311681946,16.184404371586425,0.0,31.130903315189812,0.0,0.0,0.0,15.843078657011779,0.0
20,0.0,12.165981311681946,16.184404371586425,0.0,19.98180389999253,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,16.184404371586425,0.0,10.338694963558982,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10.338694963558982,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
