Time Interval,Agent 0,Agent 3,Agent 4,Agent 1,Agent 2
30,217.36017650609568,222.24455249323964,236.13420547945205,218.7440169337356,188.52966640260004
31,185.38089876907142,198.28295497022864,236.13420547945205,218.7440169337356,188.52966640260004
32,180.11095275224483,189.21896752306122,236.13420547945205,180.26875976415533,147.89939702129936
33,140.34044700981735,189.21896752306122,208.0433078823265,149.35253398766622,147.89939702129936
34,140.34044700981735,135.64719832054925,208.0433078823265,135.2137973707059,143.20570083223316
35,140.34044700981735,135.64719832054925,208.0433078823265,135.2137973707059,113.27227952970804
36,140.34044700981735,135.64719832054925,208.0433078823265,135.2137973707059,113.27227952970804
37,104.008501527616,108.78762194277614,182.62918841230632,135.2137973707059,88.06895830478214
38,104.008501527616,108.78762194277614,182.62918841230632,92.11783801170736,88.06895830478214
39,77.95417881880253,108.78762194277614,182.62918841230632,92.11783801170736,81.04392484923618
40,77.95417881880253,108.78762194277614,182.62918841230632,92.11783801170736,81.04392484923618
41,77.95417881880253,108.78762194277614,150.39189737255782,64.4600261525187,81.04392484923618
42,77.95417881880253,108.78762194277614,150.39189737255782,64.4600261525187,81.04392484923618
43,59.66262094261444,79.0105994702211,150.39189737255782,64.4600261525187,60.28280536210777
44,59.66262094261444,79.0105994702211,150.39189737255782,64.4600261525187,60.28280536210777
45,59.66262094261444,79.0105994702211,150.39189737255782,28.770796008016834,31.563533905131578
46,59.66262094261444,79.0105994702211,150.39189737255782,28.770796008016834,31.563533905131578
47,59.66262094261444,79.0105994702211,123.69792342241186,28.770796008016834,0.0
48,59.66262094261444,79.0105994702211,123.69792342241186,28.770796008016834,0.0
49,30.88908195448821,57.46050078239963,123.69792342241186,28.770796008016834,0.0
50,30.88908195448821,27.86882652252242,123.69792342241186,28.770796008016834,0.0
51,30.88908195448821,27.86882652252242,123.69792342241186,0.0,0.0
52,30.88908195448821,27.86882652252242,92.06942061531552,0.0,0.0
53,30.88908195448821,0.0,92.06942061531552,0.0,0.0
54,30.88908195448821,0.0,63.56768291039749,0.0,0.0
55,30.88908195448821,0.0,32.29228093420166,0.0,0.0
56,0.0,0.0,32.29228093420166,0.0,0.0
57,0.0,0.0,32.29228093420166,0.0,0.0
58,0.0,0.0,32.29228093420166,0.0,0.0
59,0.0,0.0,32.29228093420166,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,
